1	 1	 S	 C
223	 21	 e	 C
224	 22	 e	 C
225	 23	 c	 C
226	 24	 o	 C
227	 25	 n	 C
228	 26	 o	 C
229	 27	 m	 C
230	 28	 i	 C
231	 29	 c	 C
232	 30	 r	 C
233	 31	 e	 C
234	 32	 g	 C
235	 33	 u	 C
236	 34	 l	 C
237	 35	 a	 C
238	 36	 t	 C
239	 37	 o	 C
240	 38	 r	 C
241	 39	 y	 C
242	 40	 c	 C
243	 41	 a	 C
244	 42	 p	 C
245	 43	 i	 C
246	 44	 t	 C
247	 45	 a	 C
248	 46	 l	 C
249	 47	 i	 C
250	 48	 n	 C
251	 49	 t	 C
252	 50	 h	 C
253	 51	 e	 C
254	 52	 U	 C
255	 53	 .	 C
256	 54	 S	 C
257	 55	 .	 C
258	 56	 A	 C
259	 57	 .	 C
260	 58	 w	 C
261	 59	 i	 C
262	 60	 l	 C
263	 61	 l	 C
264	 62	 b	 C
265	 63	 e	 C
266	 64	 f	 C
267	 65	 a	 C
268	 66	 c	 C
269	 67	 e	 C
270	 68	 d	 C
271	 69	 u	 C
272	 70	 n	 C
273	 71	 d	 C
274	 72	 e	 C
275	 73	 r	 C
276	 74	 t	 C
277	 75	 h	 C
278	 76	 i	 C
279	 77	 s	 C
280	 78	 p	 C
281	 79	 r	 C
282	 80	 u	 C
283	 81	 d	 C
284	 82	 e	 C
285	 83	 n	 C
286	 84	 t	 C
287	 85	 i	 C
288	 86	 a	 C
289	 87	 l	 C
290	 88	 m	 C
291	 89	 e	 C
292	 90	 c	 C
293	 91	 h	 C
294	 92	 a	 C
295	 93	 n	 C
296	 94	 i	 C
297	 95	 s	 C
298	 96	 m	 C
299	 97	 w	 C
300	 98	 i	 C
301	 99	 t	 C
302	 100	 h	 C
303	 101	 m	 C
304	 102	 a	 C
305	 103	 g	 C
306	 104	 n	 C
307	 105	 i	 C
308	 106	 t	 C
309	 107	 u	 C
310	 108	 d	 C
311	 109	 e	 C
312	 110	 o	 C
313	 111	 f	 C
314	 112	 1	 C
315	 113	 2	 C
316	 114	 ,	 C
317	 115	 3	 C
318	 116	 4	 C
319	 117	 5	 C
320	 118	 .	 C
321	 119	 2	 C
322	 120	 4	 C
323	 1	 d	 C
324	 2	 o	 C
325	 3	 l	 C
326	 4	 l	 C
327	 5	 a	 C
328	 6	 r	 C
329	 7	 s	 C
330	 8	 /	 C
331	 9	 c	 C
332	 10	 a	 C
333	 11	 p	 C
334	 12	 i	 C
335	 13	 t	 C
336	 14	 a	 C
337	 15	 ,	 C
338	 16	 a	 C
339	 17	 k	 C
340	 18	 i	 C
341	 19	 n	 C
342	 20	 d	 C
343	 21	 o	 C
344	 22	 f	 C
345	 23	 m	 C
346	 24	 e	 C
347	 25	 t	 C
348	 26	 h	 C
349	 27	 o	 C
350	 28	 d	 C
351	 29	 o	 C
352	 30	 l	 C
353	 31	 o	 C
354	 32	 g	 C
355	 33	 i	 C
356	 34	 c	 C
357	 35	 a	 C
358	 36	 l	 C
359	 37	 r	 C
360	 38	 e	 C
361	 39	 v	 C
362	 40	 o	 C
363	 41	 l	 C
364	 42	 u	 C
365	 43	 t	 C
366	 44	 i	 C
367	 45	 o	 C
368	 46	 n	 C
369	 47	 .	 C
370	 1	 A	 C
371	 2	 c	 C
372	 3	 h	 C
373	 4	 o	 C
374	 5	 i	 C
375	 6	 c	 C
376	 7	 e	 C
377	 8	 s	 C
378	 9	 o	 C
379	 10	 f	 C
380	 11	 a	 C
381	 12	 d	 C
382	 13	 e	 C
383	 14	 p	 C
384	 15	 e	 C
385	 16	 n	 C
386	 17	 d	 C
387	 18	 e	 C
388	 19	 n	 C
389	 20	 c	 C
390	 21	 e	 C
391	 22	 m	 C
392	 23	 o	 C
393	 24	 d	 C
394	 25	 e	 C
395	 26	 l	 C
396	 27	 i	 C
397	 28	 l	 C
398	 29	 l	 C
399	 30	 u	 C
400	 31	 s	 C
401	 32	 t	 C
402	 33	 r	 C
403	 34	 a	 C
404	 35	 t	 C
405	 36	 e	 C
406	 37	 d	 C
407	 38	 i	 C
408	 39	 n	 C
409	 40	 F	 C
410	 41	 i	 C
411	 42	 g	 C
412	 43	 .	 C
413	 44	 1	 C
414	 45	 (	 C
415	 46	 f	 C
416	 47	 o	 C
417	 48	 r	 C
418	 49	 m	 C
419	 50	 o	 C
420	 51	 r	 C
421	 52	 e	 C
422	 53	 d	 C
423	 54	 e	 C
424	 55	 t	 C
425	 56	 a	 C
426	 57	 i	 C
427	 58	 l	 C
428	 59	 s	 C
429	 60	 s	 C
430	 61	 e	 C
431	 62	 e	 C
432	 63	 F	 C
433	 64	 i	 C
434	 65	 g	 C
435	 66	 .	 C
436	 67	 4	 C
437	 68	 )	 C
438	 69	 b	 C
439	 70	 e	 C
440	 71	 t	 C
441	 72	 w	 C
442	 73	 e	 C
443	 74	 e	 C
444	 75	 n	 C
445	 76	 d	 C
446	 77	 i	 C
447	 78	 f	 C
448	 79	 f	 C
449	 80	 e	 C
450	 81	 r	 C
451	 82	 e	 C
452	 83	 n	 C
453	 84	 t	 C
454	 85	 r	 C
455	 86	 i	 C
456	 87	 s	 C
457	 88	 k	 C
458	 89	 s	 C
459	 90	 a	 C
460	 91	 n	 C
461	 92	 d	 C
462	 93	 o	 C
463	 94	 f	 C
464	 95	 a	 C
465	 96	 n	 C
466	 97	 a	 C
467	 98	 g	 C
468	 99	 g	 C
469	 100	 r	 C
470	 101	 e	 C
471	 102	 g	 C
472	 103	 a	 C
473	 104	 t	 C
474	 105	 i	 C
475	 106	 o	 C
476	 107	 n	 C
477	 108	 m	 C
478	 109	 e	 C
479	 110	 t	 C
480	 111	 h	 C
481	 112	 o	 C
482	 113	 d	 C
483	 114	 o	 C
484	 115	 l	 C
485	 116	 o	 C
486	 117	 g	 C
487	 118	 y	 C
488	 119	 a	 C
489	 120	 r	 C
490	 121	 e	 C
491	 122	 b	 C
492	 123	 o	 C
493	 124	 t	 C
494	 125	 h	 C
495	 126	 r	 C
496	 127	 e	 C
497	 128	 q	 C
498	 129	 u	 C
499	 130	 i	 C
500	 131	 r	 C
501	 132	 e	 C
502	 133	 d	 C
503	 134	 .	 C
504	 1	 T	 C
505	 2	 h	 C
506	 3	 i	 C
507	 4	 s	 C
508	 5	 p	 C
509	 6	 a	 C
510	 7	 p	 C
511	 8	 e	 C
512	 9	 r	 C
513	 10	 i	 C
514	 11	 s	 C
515	 12	 o	 C
516	 13	 r	 C
517	 14	 g	 C
518	 15	 a	 C
519	 16	 n	 C
520	 17	 i	 C
521	 18	 z	 C
522	 19	 e	 C
523	 20	 d	 C
524	 21	 a	 C
525	 22	 s	 C
526	 23	 f	 C
527	 24	 o	 C
528	 25	 l	 C
529	 26	 l	 C
530	 27	 o	 C
531	 28	 w	 C
532	 29	 s	 C
533	 30	 :	 C
534	 31	 a	 C
535	 32	 n	 C
536	 33	 e	 C
537	 34	 x	 C
538	 35	 p	 C
539	 36	 l	 C
540	 37	 a	 C
541	 38	 n	 C
542	 39	 a	 C
543	 40	 t	 C
544	 41	 i	 C
545	 42	 o	 C
546	 43	 n	 C
547	 44	 o	 C
548	 45	 f	 C
549	 46	 t	 C
550	 47	 h	 C
551	 48	 e	 C
552	 49	 m	 C
553	 50	 e	 C
554	 51	 t	 C
555	 52	 h	 C
556	 53	 o	 C
557	 54	 d	 C
558	 55	 o	 C
559	 56	 l	 C
560	 57	 o	 C
561	 58	 g	 C
562	 59	 y	 C
563	 60	 i	 C
564	 61	 s	 C
565	 62	 i	 C
566	 63	 n	 C
567	 64	 S	 C
568	 65	 e	 C
569	 66	 c	 C
570	 67	 t	 C
571	 68	 i	 C
572	 69	 o	 C
573	 70	 n	 C
574	 71	 2	 C
575	 72	 .	 C
576	 1	 I	 C
577	 2	 n	 C
578	 3	 t	 C
579	 4	 h	 C
580	 5	 e	 C
581	 6	 p	 C
582	 7	 r	 C
583	 8	 e	 C
584	 9	 s	 C
585	 10	 c	 C
586	 11	 r	 C
587	 12	 i	 C
588	 13	 b	 C
589	 14	 e	 C
590	 15	 d	 C
591	 16	 S	 C
592	 17	 t	 C
593	 18	 a	 C
594	 19	 n	 C
595	 20	 d	 C
596	 21	 a	 C
597	 22	 r	 C
598	 23	 d	 C
599	 24	 F	 C
600	 25	 o	 C
601	 26	 r	 C
602	 27	 m	 C
603	 28	 u	 C
604	 29	 l	 C
605	 30	 a	 C
606	 31	 b	 C
607	 32	 y	 C
608	 33	 T	 C
609	 34	 o	 C
610	 35	 b	 C
611	 36	 i	 C
612	 37	 n	 C
613	 39	 s	 C
614	 40	 q	 C
615	 41	 (	 C
616	 42	 B	 C
617	 43	 i	 C
618	 44	 t	 C
619	 45	 z	 C
620	 46	 e	 C
621	 47	 r	 C
622	 48	 ,	 C
623	 49	 2	 C
624	 50	 0	 C
625	 51	 0	 C
626	 52	 5	 C
627	 53	 ;	 C
628	 54	 D	 C
629	 55	 e	 C
630	 56	 n	 C
631	 57	 g	 C
632	 58	 ,	 C
633	 59	 2	 C
634	 60	 0	 C
635	 61	 0	 C
636	 62	 7	 C
637	 63	 )	 C
638	 64	 ,	 C
639	 65	 r	 C
640	 66	 i	 C
641	 67	 s	 C
642	 68	 k	 C
643	 69	 s	 C
644	 70	 a	 C
645	 71	 g	 C
646	 72	 g	 C
647	 73	 r	 C
648	 74	 e	 C
649	 75	 g	 C
650	 76	 a	 C
651	 77	 t	 C
652	 78	 i	 C
653	 79	 o	 C
654	 80	 n	 C
655	 81	 i	 C
656	 82	 s	 C
657	 83	 d	 C
658	 84	 o	 C
659	 85	 n	 C
660	 86	 e	 C
661	 87	 u	 C
662	 88	 s	 C
663	 89	 i	 C
664	 90	 n	 C
665	 91	 g	 C
666	 92	 c	 C
667	 93	 o	 C
668	 94	 r	 C
669	 95	 r	 C
670	 96	 e	 C
671	 97	 l	 C
672	 98	 a	 C
673	 99	 t	 C
674	 100	 i	 C
675	 101	 o	 C
676	 102	 n	 C
677	 103	 m	 C
678	 104	 a	 C
679	 105	 t	 C
680	 106	 r	 C
681	 107	 i	 C
682	 108	 c	 C
683	 109	 e	 C
684	 110	 s	 C
685	 111	 t	 C
686	 112	 h	 C
687	 113	 a	 C
688	 114	 t	 C
689	 115	 c	 C
690	 116	 o	 C
691	 117	 n	 C
692	 118	 n	 C
693	 119	 e	 C
694	 120	 c	 C
695	 121	 t	 C
696	 122	 f	 C
697	 123	 a	 C
698	 124	 m	 C
699	 125	 i	 C
700	 126	 l	 C
701	 127	 i	 C
702	 128	 e	 C
703	 129	 s	 C
704	 130	 a	 C
705	 131	 n	 C
706	 132	 d	 C
707	 133	 s	 C
708	 134	 u	 C
709	 135	 b	 C
710	 136	 f	 C
711	 137	 a	 C
712	 138	 m	 C
713	 139	 i	 C
714	 140	 l	 C
715	 141	 i	 C
716	 142	 e	 C
717	 143	 s	 C
718	 144	 o	 C
719	 145	 f	 C
720	 146	 r	 C
721	 147	 i	 C
722	 148	 s	 C
723	 149	 k	 C
724	 150	 s	 C
725	 151	 .	 C
726	 1	 O	 C
727	 2	 n	 C
728	 3	 c	 C
729	 4	 e	 C
730	 5	 t	 C
731	 6	 h	 C
732	 7	 e	 C
733	 8	 S	 C
734	 9	 o	 C
735	 10	 l	 C
736	 11	 v	 C
737	 12	 e	 C
738	 13	 n	 C
739	 14	 c	 C
740	 15	 y	 C
741	 16	 C	 C
742	 17	 a	 C
743	 18	 p	 C
744	 19	 i	 C
745	 20	 t	 C
746	 21	 a	 C
747	 22	 l	 C
748	 23	 R	 C
749	 24	 e	 C
750	 25	 q	 C
751	 26	 u	 C
752	 27	 i	 C
753	 28	 r	 C
754	 29	 e	 C
755	 30	 m	 C
756	 31	 e	 C
757	 32	 n	 C
758	 33	 t	 C
759	 34	 (	 C
760	 35	 S	 C
761	 36	 C	 C
762	 37	 R	 C
763	 38	 )	 C
764	 39	 i	 C
765	 40	 s	 C
766	 41	 c	 C
767	 42	 a	 C
768	 43	 l	 C
769	 44	 c	 C
770	 45	 u	 C
771	 46	 l	 C
772	 47	 a	 C
773	 48	 t	 C
774	 49	 e	 C
775	 50	 d	 C
776	 51	 u	 C
777	 52	 s	 C
778	 53	 i	 C
779	 54	 n	 C
780	 55	 g	 C
781	 56	 P	 C
782	 57	 a	 C
783	 58	 t	 C
784	 59	 e	 C
785	 60	 n	 C
786	 61	 t	 C
787	 62	 #	 C
788	 63	 :	 C
789	 64	 4	 C
790	 65	 ,	 C
791	 66	 5	 C
792	 67	 7	 C
793	 68	 2	 C
794	 69	 ,	 C
795	 70	 9	 C
796	 71	 0	 C
797	 72	 9	 C
798	 73	 a	 C
799	 74	 n	 C
800	 75	 d	 C
801	 76	 I	 C
802	 77	 P	 C
803	 78	 C	 C
804	 79	 #	 C
805	 80	 :	 C
806	 81	 A	 C
807	 82	 6	 C
808	 83	 1	 C
809	 84	 K	 C
810	 85	 0	 C
811	 86	 3	 C
812	 87	 1	 C
813	 88	 /	 C
814	 89	 4	 C
815	 90	 5	 C
816	 91	 5	 C
817	 92	 ,	 C
818	 93	 i	 C
819	 94	 t	 C
820	 95	 s	 C
821	 96	 a	 C
822	 97	 l	 C
823	 98	 l	 C
824	 99	 o	 C
825	 100	 c	 C
826	 101	 a	 C
827	 102	 t	 C
828	 103	 i	 C
829	 104	 o	 C
830	 105	 n	 C
831	 106	 b	 C
832	 107	 e	 C
833	 108	 t	 C
834	 109	 w	 C
835	 110	 e	 C
836	 111	 e	 C
837	 112	 n	 C
838	 113	 t	 C
839	 114	 h	 C
840	 115	 e	 C
841	 116	 d	 C
842	 117	 i	 C
843	 118	 f	 C
844	 119	 f	 C
845	 120	 e	 C
846	 121	 r	 C
847	 122	 e	 C
848	 123	 n	 C
849	 124	 t	 C
850	 125	 r	 C
851	 126	 i	 C
852	 127	 s	 C
853	 128	 k	 C
854	 129	 y	 C
855	 130	 a	 C
856	 131	 c	 C
857	 132	 t	 C
858	 133	 i	 C
859	 134	 v	 C
860	 135	 i	 C
861	 136	 t	 C
862	 137	 y	 C
863	 138	 b	 C
864	 139	 r	 C
865	 140	 a	 C
866	 141	 n	 C
867	 142	 c	 C
868	 143	 h	 C
869	 144	 e	 C
870	 145	 s	 C
871	 146	 b	 C
872	 147	 e	 C
873	 148	 c	 C
874	 149	 o	 C
875	 150	 m	 C
876	 151	 e	 C
877	 152	 s	 C
878	 153	 t	 C
879	 154	 h	 C
880	 155	 e	 C
881	 156	 n	 C
882	 157	 e	 C
883	 158	 w	 C
884	 159	 o	 C
885	 160	 p	 C
886	 161	 e	 C
887	 162	 r	 C
888	 163	 a	 C
889	 164	 t	 C
890	 165	 i	 C
891	 166	 o	 C
892	 167	 n	 C
893	 168	 a	 C
894	 169	 l	 C
895	 170	 c	 C
896	 171	 h	 C
897	 172	 a	 C
898	 173	 l	 C
899	 174	 l	 C
900	 175	 e	 C
901	 176	 n	 C
902	 177	 g	 C
903	 178	 e	 C
904	 179	 .	 C
905	 1	 C	 C
906	 2	 a	 C
907	 3	 p	 C
908	 4	 i	 C
909	 5	 t	 C
910	 6	 a	 C
911	 7	 l	 C
912	 8	 a	 C
913	 9	 l	 C
914	 10	 l	 C
915	 11	 o	 C
916	 12	 c	 C
917	 13	 a	 C
918	 14	 t	 C
919	 15	 i	 C
920	 16	 o	 C
921	 17	 n	 C
922	 18	 i	 C
923	 19	 s	 C
924	 20	 a	 C
925	 21	 n	 C
926	 22	 i	 C
927	 23	 n	 C
928	 24	 t	 C
929	 25	 e	 C
930	 26	 r	 C
931	 27	 n	 C
932	 28	 a	 C
933	 29	 l	 C
934	 30	 e	 C
935	 31	 x	 C
936	 32	 e	 C
937	 33	 r	 C
938	 34	 c	 C
939	 35	 i	 C
940	 36	 s	 C
941	 37	 e	 C
942	 38	 c	 C
943	 39	 a	 C
944	 40	 l	 C
945	 41	 c	 C
946	 42	 u	 C
947	 43	 l	 C
948	 44	 a	 C
949	 45	 t	 C
950	 46	 e	 C
951	 47	 d	 C
952	 48	 b	 C
953	 49	 y	 C
954	 50	 c	 C
955	 51	 l	 C
956	 52	 a	 C
957	 53	 s	 C
958	 54	 s	 C
959	 55	 m	 C
960	 56	 e	 C
961	 57	 t	 C
962	 58	 h	 C
963	 59	 o	 C
964	 60	 d	 C
965	 61	 s	 C
966	 62	 c	 C
967	 63	 r	 C
968	 64	 .	 C
969	 65	 c	 C
970	 66	 a	 C
971	 67	 p	 C
972	 68	 i	 C
973	 69	 t	 C
974	 70	 a	 C
975	 71	 l	 C
976	 72	 (	 C
977	 73	 )	 C
978	 74	 ,	 C
979	 75	 c	 C
980	 76	 e	 C
981	 77	 r	 C
982	 78	 t	 C
983	 79	 a	 C
984	 80	 i	 C
985	 81	 n	 C
986	 82	 l	 C
987	 83	 y	 C
988	 84	 n	 C
989	 85	 o	 C
990	 86	 t	 C
991	 87	 c	 C
992	 88	 o	 C
993	 89	 n	 C
994	 90	 t	 C
995	 91	 r	 C
996	 92	 o	 C
997	 93	 l	 C
998	 94	 l	 C
999	 95	 e	 C
1000	 96	 d	 C
1001	 97	 b	 C
1002	 98	 y	 C
1003	 99	 t	 C
1004	 100	 h	 C
1005	 101	 e	 C
1006	 102	 f	 C
1007	 103	 i	 C
1008	 104	 r	 C
1009	 105	 s	 C
1010	 106	 t	 C
1011	 107	 p	 C
1012	 108	 i	 C
1013	 109	 l	 C
1014	 110	 l	 C
1015	 111	 a	 C
1016	 112	 r	 C
1017	 113	 o	 C
1018	 114	 f	 C
1019	 115	 S	 C
1020	 116	 o	 C
1021	 117	 l	 C
1022	 118	 v	 C
1023	 119	 e	 C
1024	 120	 n	 C
1025	 121	 c	 C
1026	 122	 y	 C
1027	 123	 2	 C
1028	 124	 ,	 C
1029	 125	 b	 C
1030	 126	 u	 C
1031	 127	 t	 C
1032	 128	 i	 C
1033	 129	 t	 C
1034	 130	 p	 C
1035	 131	 l	 C
1036	 132	 a	 C
1037	 133	 y	 C
1038	 134	 s	 C
1039	 135	 a	 C
1040	 136	 c	 C
1041	 137	 r	 C
1042	 138	 u	 C
1043	 139	 c	 C
1044	 140	 i	 C
1045	 141	 a	 C
1046	 142	 l	 C
1047	 143	 r	 C
1048	 144	 o	 C
1049	 145	 l	 C
1050	 146	 e	 C
1051	 147	 i	 C
1052	 148	 n	 C
1053	 149	 d	 C
1054	 150	 e	 C
1055	 151	 t	 C
1056	 152	 e	 C
1057	 153	 r	 C
1058	 154	 m	 C
1059	 155	 i	 C
1060	 156	 n	 C
1061	 157	 i	 C
1062	 158	 n	 C
1063	 159	 g	 C
1064	 160	 p	 C
1065	 161	 e	 C
1066	 162	 r	 C
1067	 163	 f	 C
1068	 164	 o	 C
1069	 165	 r	 C
1070	 166	 m	 C
1071	 167	 a	 C
1072	 168	 n	 C
1073	 169	 c	 C
1074	 170	 e	 C
1075	 171	 o	 C
1076	 172	 f	 C
1077	 173	 a	 C
1078	 174	 l	 C
1079	 175	 l	 C
1080	 176	 t	 C
1081	 177	 h	 C
1082	 178	 e	 C
1083	 179	 i	 C
1084	 180	 n	 C
1085	 181	 s	 C
1086	 182	 u	 C
1087	 183	 r	 C
1088	 184	 e	 C
1089	 185	 r	 C
1090	 186	 a	 C
1091	 187	 c	 C
1092	 188	 t	 C
1093	 189	 i	 C
1094	 190	 v	 C
1095	 191	 i	 C
1096	 192	 t	 C
1097	 193	 y	 C
1098	 194	 .	 C
1099	 1	 T	 C
1100	 2	 h	 C
1101	 3	 e	 C
1102	 4	 c	 C
1103	 5	 a	 C
1104	 6	 s	 C
1105	 7	 e	 C
1106	 8	 o	 C
1107	 9	 f	 C
1108	 10	 i	 C
1109	 11	 n	 C
1110	 12	 s	 C
1111	 13	 u	 C
1112	 14	 r	 C
1113	 15	 a	 C
1114	 16	 n	 C
1115	 17	 c	 C
1116	 18	 e	 C
1117	 19	 g	 C
1118	 20	 r	 C
1119	 21	 o	 C
1120	 22	 u	 C
1121	 23	 p	 C
1122	 24	 s	 C
1123	 25	 ,	 C
1124	 26	 s	 C
1125	 27	 t	 C
1126	 28	 a	 C
1127	 29	 t	 C
1128	 30	 e	 C
1129	 31	 d	 C
1130	 32	 i	 C
1131	 33	 n	 C
1132	 34	 T	 C
1133	 35	 a	 C
1134	 36	 b	 C
1135	 37	 .	 C
1136	 38	 2	 C
1137	 39	 ,	 C
1138	 40	 r	 C
1139	 41	 e	 C
1140	 42	 q	 C
1141	 43	 u	 C
1142	 44	 i	 C
1143	 45	 r	 C
1144	 46	 e	 C
1145	 47	 s	 C
1146	 48	 s	 C
1147	 49	 p	 C
1148	 50	 e	 C
1149	 51	 c	 C
1150	 52	 i	 C
1151	 53	 a	 C
1152	 54	 l	 C
1153	 55	 t	 C
1154	 56	 r	 C
1155	 57	 e	 C
1156	 58	 a	 C
1157	 59	 t	 C
1158	 60	 m	 C
1159	 61	 e	 C
1160	 62	 n	 C
1161	 63	 t	 C
1162	 64	 f	 C
1163	 65	 o	 C
1164	 66	 r	 C
1165	 67	 t	 C
1166	 68	 h	 C
1167	 69	 e	 C
1168	 70	 a	 C
1169	 71	 n	 C
1170	 72	 n	 C
1171	 73	 u	 C
1172	 74	 a	 C
1173	 75	 l	 C
1174	 76	 i	 C
1175	 77	 n	 C
1176	 78	 c	 C
1177	 79	 r	 C
1178	 80	 e	 C
1179	 81	 a	 C
1180	 82	 s	 C
1181	 83	 e	 C
1182	 84	 o	 C
1183	 85	 f	 C
1184	 86	 1	 C
1185	 87	 .	 C
1186	 88	 7	 C
1187	 89	 5	 C
1188	 90	 %	 C
1189	 91	 a	 C
1190	 92	 n	 C
1191	 93	 d	 C
1192	 94	 m	 C
1193	 95	 o	 C
1194	 96	 r	 C
1195	 97	 t	 C
1196	 98	 a	 C
1197	 99	 l	 C
1198	 100	 i	 C
1199	 101	 t	 C
1200	 102	 y	 C
1201	 103	 d	 C
1202	 104	 e	 C
1203	 105	 c	 C
1204	 106	 r	 C
1205	 107	 e	 C
1206	 108	 a	 C
1207	 109	 s	 C
1208	 110	 e	 C
1209	 111	 o	 C
1210	 112	 f	 C
1211	 113	 .	 C
1212	 114	 1	 C
1213	 115	 2	 C
1214	 116	 %	 C
1215	 117	 i	 C
1216	 118	 n	 C
1217	 119	 t	 C
1218	 120	 h	 C
1219	 121	 e	 C
1220	 122	 c	 C
1221	 123	 o	 C
1222	 124	 n	 C
1223	 125	 t	 C
1224	 126	 e	 C
1225	 127	 x	 C
1226	 128	 t	 C
1227	 129	 o	 C
1228	 130	 f	 C
1229	 131	 t	 C
1230	 132	 h	 C
1231	 133	 e	 C
1232	 134	 O	 C
1233	 135	 w	 C
1234	 136	 n	 C
1235	 137	 R	 C
1236	 138	 i	 C
1237	 139	 s	 C
1238	 140	 k	 C
1239	 141	 a	 C
1240	 142	 n	 C
1241	 143	 d	 C
1242	 144	 S	 C
1243	 145	 o	 C
1244	 146	 l	 C
1245	 147	 v	 C
1246	 148	 e	 C
1247	 149	 n	 C
