<DOCUMENT 1> 
187 dominoes_VBG
188 ._.
189 We_PRP
190 felt_VBN
191 meditative_JJ
192 ,_,
193 and_CC
194 fit_NN
195 for_IN
196 nothing_NN
197 but_CC
198 placid_JJ
199 staring_VBG
200 ._.
201 The_DT
202 day_NN
203 was_VBD
204 ending_VBG
205 in_IN
206 a_DT
207 serenity_NN
208 of_IN
209 still_RB
210 and_CC
211 exquisite_RB
212 brilliance_NN
213 ._.
214 The_DT
215 water_NN
216 shone_NN
217 pacifically_RB
218 ;_:
219 the_DT
220 sky_NN
221 ,_,
222 without_IN
223 a_DT
224 speck_NN
225 ,_,
226 was_VBD
227 a_DT
228 benign_JJ
229 immensity_NN
230 of_IN
231 unstained_JJ
232 light_NN
233 ;_:
234 the_DT
235 very_RB
236 mist_NN
237 on_IN
238 the_DT
239 Essex_NNP
240 marsh_NN
241 was_VBD
242 like_IN
243 a_DT
244 gauzy_NN
245 and_CC
246 radiant_NN
247 fabric_NN
248 ,_,
249 hung_VBN
250 from_IN
251 the_DT
252 wooded_VBN
253 rises_NNS
254 inland_CC
255 ,_,
256 and_CC
257 draping_VBG
258 the_DT
259 low_JJ
260 shores_NNS
261 in_IN
262 diaphanous_JJ
263 folds_NNS
264 ._.
265 Only_RB
266 the_DT
267 gloom_NN
268 to_TO
269 the_DT
270 west_NN
271 ,_,
272 brooding_VBG
273 over_IN
274 the_DT
275 upper_JJ
276 reaches_NNS
277 ,_,
278 became_VBD
279 more_RBR
280 sombre_NN
281 every_DT
282 minute_NN
283 ,_,
284 as_IN
285 if_IN
286 angered_VBN
287 by_IN
288 the_DT
289 approach_NN
290 of_IN
291 the_DT
292 sun_NN
293 ._.
294 And_CC
295 at_IN
296 last_JJ
297 ,_,
298 in_IN
299 its_PRP$
300 curved_VBN
301 and_CC
302 imperceptible_JJ
303 fall_NN
304 ,_,
305 the_DT
306 sun_NN
307 sank_VBD
308 low_JJ
309 ,_,
310 and_CC
311 from_IN
312 glowing_VBG
313 white_JJ
314 changed_VBN
315 to_TO
316 a_DT
317 dull_JJ
318 red_JJ
319 without_IN
320 rays_NNS
321 and_CC
322 without_IN
323 heat_NN
324 ,_,
325 as_IN
326 if_IN
327 about_IN
328 to_TO
329 go_VB
330 out_IN
331 suddenly_RB
332 ,_,
333 stricken_VBN
334 to_TO
335 death_NN
336 by_IN
337 the_DT
338 touch_NN
339 of_IN
340 that_WDT
341 gloom_NN
342 brooding_VBG
343 over_IN
344 a_DT
345 crowd_NN
346 of_IN
347 men_NNS
348 ._.
349 Forthwith_IN
350 a_DT
351 change_NN
352 came_VBD
353 over_IN
354 the_DT
355 waters_NNS
356 ,_,
357 and_CC
358 the_DT
359 serenity_NN
360 became_VBD
361 less_RBR
362 brilliant_JJ
363 but_CC
364 more_RBR
365 profound_JJ
366 ._.
367 The_DT
368 old_JJ
369 river_NN
370 in_IN
371 its_PRP$
372 broad_JJ
373 reach_NN
374 rested_VBN
375 unruffled_JJ
376 at_IN
377 the_DT
378 decline_NN
379 of_IN
380 day_NN
381 ,_,
382 after_IN
383 ages_NNS
384 of_IN
385 good_JJ
386 service_NN
387 done_VBN
388 to_TO
389 the_DT
390 race_NN
391 that_WDT
392 peopled_VBN
393 its_PRP$
394 banks_NNS
395 ,_,
396 spread_NN
397 out_IN
398 in_IN
399 the_DT
400 tranquil_NN
401 dignity_NN
402 of_IN
403 a_DT
404 waterway_NN
405 leading_VBG
406 to_TO
407 the_DT
408 uttermost_RB
409 ends_NNS
410 of_IN
411 the_DT
412 earth_NN
413 ._.
414 We_PRP
415 looked_VBN
416 at_IN
417 the_DT
418 venerable_JJ
419 stream_NN
420 not_RB
421 in_IN
422 the_DT
423 vivid_JJ
424 flush_NN
425 of_IN
426 a_DT
427 short_JJ
428 day_NN
429 that_WDT
430 comes_VBZ
431 and_CC
432 departs_NNS
433 for_IN
434 ever_RB
435 ,_,
436 but_CC
437 in_IN
438 the_DT
439 august_VB
440 light_NN
441 of_IN
442 abiding_VBG
443 memories_NNS
444 ._.
445 And_CC
446 indeed_RB
447 nothing_NN
448 is_VBZ
449 easier_RBR
450 for_IN
451 a_DT
452 man_NN
453 who_WP
454 has_VBZ
455 ,_,
456 as_IN
457 the_DT
458 phrase_NN
459 goes_VBZ
460 ,_,
461 "followed_VBN
462 the_DT
463 sea_NN
464 "_``
465 with_IN
466 reverence_NN
467 and_CC
468 affection_NN
469 ,_,
470 than_IN
471 to_TO
472 evoke_NN
473 the_DT
474 great_JJ
475 spirit_NN
476 of_IN
477 the_DT
478 past_NN
479 upon_IN
480 the_DT
481 lower_RBR
482 reaches_NNS
483 of_IN
484 the_DT
485 Thames_.
486 ._.
487 The_DT
488 tidal_NN
489 current_JJ
490 runs_NNS
491 to_TO
492 and_CC
493 fro_IN
494 in_IN
495 its_PRP$
496 unceasing_VBG
497 service_NN
498 ,_,
499 crowded_VBN
500 with_IN
501 memories_NNS
502 of_IN
503 men_NNS
504 and_CC
505 ships_NNS
506 it_PRP
507 had_VBN
508 borne_VBN
509 to_TO
510 the_DT
511 rest_NN
512 of_IN
513 home_NN
514 or_CC
515 to_TO
516 the_DT
517 battles_NNS
518 of_IN
519 the_DT
520 sea_NN
521 ._.
522 It_PRP
523 had_VBN
524 known_VBN
525 and_CC
526 served_VBN
527 all_PDT
528 the_DT
529 men_NNS
530 of_IN
531 whom_WP
532 the_DT
533 nation_NN
534 is_VBZ
535 proud_JJ
536 ,_,
537 from_IN
538 Sir_NNP
539 Francis_NNP
540 Drake_NN
541 to_TO
542 Sir_NNP
543 John_NNP
544 Franklin_NNP
545 ,_,
546 knights_NNS
547 all_PDT
548 ,_,
549 titled_VBN
550 and_CC
551 untitled—the_IN
552 great_JJ
553 knights-errant_NN
554 of_IN
555 the_DT
556 sea_NN
557 ._.
558 It_PRP
559 had_VBN
560 borne_VBN
561 all_PDT
562 the_DT
563 ships_NNS
564 whose_WP$
565 names_NNS
566 are_VBP
567 like_IN
568 jewels_NNS
569 flashing_VBG
570 in_IN
571 the_DT
572 night_NN
573 of_IN
574 time_NN
575 ,_,
576 from_IN
577 the_DT
578 Golden_NNP
579 Hind_CC
580 returning_VBG
581 with_IN
582 her_PRP$
583 rotund_NN
584 flanks_NNS
585 full_JJ
586 of_IN
587 treasure_NN
588 ,_,
589 to_TO
590 be_VB
591 visited_VBN
592 by_IN
593 the_DT
594 Queen_NNP
595 's_POS
596 Highness_.
597 and_CC
598 thus_RB
599 pass_NN
600 out_IN
601 of_IN
602 the_DT
603 gigantic_JJ
604 tale_NN
605 ,_,
606 to_TO
607 the_DT
608 Erebus_.
609 and_CC
610 Terror_NN
611 ,_,
612 bound_VBN
613 on_IN
614 other_JJ
615 conquests—and_CC
616 that_WDT
617 never_RB
618 returned_VBN
619 ._.
620 It_PRP
621 had_VBN
622 known_VBN
623 the_DT
624 ships_NNS
625 and_CC
626 the_DT
627 men_NNS
628 ._.
629 They_PRP
630 had_VBN
631 sailed_VBN
632 from_IN
633 Deptford_NNP
634 ,_,
635 from_IN
636 Greenwich_NNP
637 ,_,
638 from_IN
639 Erith—the_.
640 adventurers_NNS
641 and_CC
642 the_DT
643 settlers_NNS
644 ;_:
645 kings_NNS
646 '_POS
647 ships_NNS
648 and_CC
649 the_DT
650 ships_NNS
651 of_IN
652 men_NNS
653 on_IN
654 '_POS
655 Change_NNP
656 ;_:
657 captains_NNS
658 ,_,
659 admirals_NNS
660 ,_,
661 the_DT
662 dark_NN
663 "interlopers_NNS
664 "_``
665 of_IN
666 the_DT
667 Eastern_NNP
668 trade_NN
669 ,_,
670 and_CC
671 the_DT
672 commissioned_VBN
673 "generals_NNS
674 "_``
675 of_IN
676 East_NNP
677 India_NNP
678 fleets_NNS
679 ._.
680 Hunters_NNS
681 for_IN
682 gold_NN
683 or_CC
684 pursuers_NNS
685 of_IN
686 fame_NN
687 ,_,
688 they_PRP
689 all_PDT
690 had_VBN
691 gone_VBN
692 out_IN
693 on_IN
694 that_WDT
695 stream_NN
696 ,_,
697 bearing_VBG
698 the_DT
699 sword_NN
700 ,_,
701 and_CC
702 often_RB
703 the_DT
704 torch_NN
705 ,_,
706 messengers_NNS
707 of_IN
708 the_DT
709 might_MD
710 within_IN
711 the_DT
712 land_NN
713 ,_,
714 bearers_NNS
715 of_IN
716 a_DT

717 spark_NN

718 from_IN
719 the_DT
720 sacred_JJ

721 fire_NN
722 ._.

723 What_WP
724 greatness_NN

725 had_VBN
726 not_RB
727 floated_VBN
728 on_IN
729 the_DT
730 ebb_VBG
731 of_IN
732 that_WDT
733 river_NN
734 into_IN
735 the_DT
736 mystery_NN
737 of_IN
738 an_DT
739 unknown_NN
740 earth_NN
741 !_.
742 ..._:
743 The_DT
744 dreams_NNS
745 of_IN
746 men_NNS
747 ,_,
748 the_DT
749 seed_NN
750 of_IN
751 commonwealths_NNS
752 ,_,
753 the_DT
754 germs_NNS
755 of_IN
756 empires_NNS
757 ._.
758 

<DOCUMENT 2>
1 The_DT
2 swaying_VBG
3 had_VBN
4 come_VBN
5 to_TO
6 a_DT
7 halt_NN
8 and_CC
9 it_PRP
10 was_VBD
11 dark_NN
12 ._.
13 The_DT
14 Explorer_NN
15 was_VBD
16 not_RB
17 comfortable_JJ
18 in_IN
19 the_DT
20 alien_NN
21 air_NN
22 ._.
23 It_PRP
24 felt_VBN
25 as_IN
26 thick_JJ
27 as_IN
28 soup_NN
29 and_CC
30 he_PRP
31 had_VBN
32 to_TO
33 breathe_VB
34 shallowly_RB
35 ._.
36 Even_RB
37 so—_NN
38 He_PRP
39 reached_VBN
40 out_IN
41 in_IN
42 a_DT
43 sudden_JJ
44 need_NN
45 for_IN
46 company_NN
47 ._.
48 The_DT
49 Merchant_NN
50 was_VBD
51 warm_JJ
52 to_TO
53 the_DT
54 touch_NN
55 ._.
56 His_PRP$
57 breathing_VBG
58 was_VBD
59 rough_JJ
60 ,_,
61 he_PRP
62 moved_VBN
63 in_IN
64 an_DT
65 occasional_JJ
66 spasm_NN
67 ,_,
68 and_CC
69 was_VBD
70 obviously_RB
71 asleep._.
72 The_DT
73 Explorer_NN
74 hesitated_VBD
75 and_CC
76 decided_VBN
77 not_RB
78 to_TO
79 wake_NN
80 him_PRP
81 ._.
82 It_PRP
83 would_MD
84 serve_VB
85 no_UH
86 real_JJ
87 purpose_NN
88 ._.
89 There_EX
90 would_MD
91 be_VB
92 no_UH
93 rescue_NN
94 ,_,
95 of_IN
96 course_NN
97 ._.
98 That_IN
99 was_VBD
100 the_DT
101 penalty_NN
102 paid_VBN
103 for_IN
104 the_DT
105 high_JJ
106 profits_NNS
107 which_WDT
108 unrestrained_JJ
109 competition_NN
110 could_MD
111 lead_NN
112 to_TO
113 ._.
114 The_DT
115 Merchant_NN
116 who_WP
117 opened_VBN
118 a_DT
119 new_JJ
120 planet_NN
121 could_MD
122 have_VB
123 a_DT
124 ten_CD
125 year_NN
126 monopoly_NN
127 of_IN
128 its_PRP$
129 trade_NN
130 ,_,
131 which_WDT
132 he_PRP
133 might_MD
134 hug_NN
135 to_TO
136 himself_PRP
137 or_CC
138 ,_,
139 more_RBR
140 likely_JJ
141 ,_,
142 rent_NN
143 out_IN
144 to_TO
145 all_PDT
146 comers_NNS
147 at_IN
148 a_DT
149 stiff_JJ
150 price_NN
151 ._.
152 It_PRP
153 followed_VBN
154 that_WDT
155 planets_NNS
156 were_VBD
157 searched_VBN
158 for_IN
159 in_IN
160 secrecy_NN
161 and_CC
162 ,_,
163 preferably_RB
164 ,_,
165 away_RB
166 from_IN
167 the_DT
168 usual_JJ
169 trade_NN
170 routes_NNS
171 ._.
172 In_IN
173 a_DT
174 case_NN
175 such_JJ
176 as_IN
177 theirs_JJ
178 ,_,
179 then_RB
180 ,_,
181 there_EX
182 was_VBD
183 little_RB
184 or_CC
185 no_UH
186 chance_NN
187 that_WDT
188 another_DT
189 ship_NN
190 would_MD
191 come_VBN
192 within_IN
193 range_NN
194 of_IN
195 their_PRP$
196 subetherics_NNS
197 except_IN
198 for_IN
199 the_DT
200 most_RBS
201 improbable_JJ
202 of_IN
203 coincidences_NNS
204 ._.
205 Even_RB
206 if_IN
207 they_PRP
208 were_VBD
209 in_IN
210 their_PRP$
211 ship_NN
212 ,_,
213 that_WDT
214 is_VBZ
215 ,_,
216 rather_RB
217 than_IN
218 in_IN
219 this—this—cage_NN
220 ._.
221 The_DT
222 Explorer_NN
223 grasped_VBN
224 the_DT
225 thick_JJ
226 bars_NNS
227 ._.
228 Even_RB
229 if_IN
230 they_PRP
231 blasted_VBN
232 those_DT
233 away_RB
234 ,_,
235 as_IN
236 they_PRP
237 could_MD
238 ,_,
239 they_PRP
240 would_MD
241 be_VB
242 stuck_VBN
243 too_RB
244 high_JJ
245 in_IN
246 open_JJ
247 air_NN
248 for_IN
249 leaping_VBG
250 ._.
251 It_PRP
252 was_VBD
253 too_RB
254 bad_JJ
255 ._.
256 They_PRP
257 had_VBN
258 landed_VBN
259 twice_RB
260 before_IN
261 in_IN
262 the_DT
263 scout-ship_NN
264 ._.
265 They_PRP
266 had_VBN
267 established_VBN
268 contact_NN
269 with_IN
270 the_DT
271 natives_NNS
272 who_WP
273 were_VBD
274 grotesquely_RB
275 huge_JJ
276 ,_,
277 but_CC
278 mild_JJ
279 and_CC
280 unaggressive_JJ
281 ._.
282 It_PRP
283 was_VBD
284 obvious_JJ
285 that_WDT
286 they_PRP
287 had_VBN
288 once_RB
289 owned_VBN
290 a_DT
291 flourishing_VBG
292 technology_NN
293 ,_,
294 but_CC
295 had_VBN
296 n't_RB
297 faced_VBN
298 up_IN
299 to_TO
300 the_DT
301 consequences_NNS
302 of_IN
303 such_JJ
304 a_DT
305 technology_NN
306 ._.
307 It_PRP
308 would_MD
309 have_VB
310 been_VBN
311 a_DT
312 wonderful_JJ
313 market_NN
314 ._.
315 And_CC
316 it_PRP
317 was_VBD
318 a_DT
319 tremendous_JJ
320 world_NN
321 ._.
322 The_DT
323 Merchant_NN
324 ,_,
325 especially_RB
326 ,_,
327 had_VBN
328 been_VBN
329 taken_VBN
330 aback_RB
331 ._.
332 He_PRP
333 had_VBN
334 known_VBN
335 the_DT
336 figures_NNS
337 that_WDT
338 expressed_VBN
339 the_DT
340 planet_NN
341 's_POS
342 diameter_NN
343 ,_,
344 but_CC
345 from_IN
346 a_DT
347 distance_NN
348 of_IN
349 two_CD
350 light-seconds_NNS
351 ,_,
352 he_PRP
353 had_VBN
354 stood_VBN
355 at_IN
356 the_DT
357 visi-plate_NN
358 and_CC
359 muttered_VBD
360 ,_,
361 "_``
362 Unbelievable_JJ
363 !_.
364 "_``
365 "_``
366 Oh_UH
367 ,_,
368 there_EX
369 are_VBP
370 larger_JJR
371 worlds_NNS
372 ,_,
373 "_``
374 the_DT
375 Explorer_NN
376 said_VBD
377 ._.
378 It_PRP
379 would_MD
380 n't_RB
381 do_VB
382 for_IN
383 an_DT
384 Explorer_NN
385 to_TO
386 be_VB
387 too_RB
388 easily_RB
389 impressed_VBN
390 ._.
391 "_``
392 Inhabited_.
393 ?_.
394 "_``
395 "_``
396 Well_UH
397 ,_,
398 no_UH
399 ._.
400 "_``
401 "_``
402 Why_WRB
403 ,_,
404 you_PRP
405 could_MD
406 drop_NN
407 your_PRP$
408 planet_NN
409 into_IN
410 that_WDT
411 large_JJ
412 ocean_NN
413 and_CC
414 drown_VBN
415 it_PRP
416 ._.
417 "_``
418 The_DT
419 Explorer_NN
420 smiled_VBN
421 ._.
422 It_PRP
423 was_VBD
424 a_DT
425 gentle_JJ
426 dig_VB
427 at_IN
428 his_PRP$
429 Arcturian_NNP
430 homeland_NN
431 ,_,
432 which_WDT
433 was_VBD
434 smaller_JJR
435 than_IN
436 most_RBS
437 planets_NNS
438 ._.
439 He_PRP
440 said_VBD
441 ,_,
442 "_``
443 Not_RB
444 quite_RB
445 ._.
446 "_``
447 The_DT
448 Merchant_NN
449 followed_VBN
450 along_IN
451 the_DT
452 line_NN
453 of_IN
454 his_PRP$
455 thoughts_NNS
456 ._.
457 "_``
458 And_CC
459 the_DT
460 inhabitants_NNS
461 are_VBP
462 large_JJ
463 in_IN
464 proportion_NN
465 to_TO
466 their_PRP$
467 world_NN
468 ?_.
469 "_``
470 He_PRP
471 sounded_VBN
472 as_IN
473 though_IN
474 the_DT
475 news_NN
476 struck_VBN
477 him_PRP
478 less_RBR
479 favorably_RB
480 now_RB
481 ._.
482 

 <DOCUMENT 3>
1 Solvency_NN
2 2_CD
3 standards_NNS
4 will_MD
5 make_VB
6 a_DT
7 1_CD
8 )_-RRB-
9 radical|ADJ_NN
10 change_NN
11 in_IN
12 risk_NN
13 management_NN
14 practices_NNS
15 in_IN
16 the_DT
17 2_CD
18 )_-RRB-
19 actuarial|ADJ_NN
20 sector_NN
21 ._.
22 They_PRP
23 are_VBP
24 based_VBN
25 on_IN
26 a_DT
27 strengthening_VBG
28 of_IN
29 risk_NN
30 control_NN
31 and_CC
32 minimization_NN
33 of_IN
34 a_DT
35 ruin_NN
36 probability_NN
37 ._.
38 The_DT
39 determination_NN
40 of_IN
41 the_DT
42 3_CD
43 )_-RRB-
44 economic|ADJ_NN
45 4_CD
46 )_-RRB-
47 regulatory|ADJ_NN
48 capital_NN
49 will_MD
50 be_VB
51 faced_VBN
52 under_IN
53 this_DT
54 5_CD
55 )_-RRB-
56 prudential|ADJ_NN
57 mechanism_NN
58 with_IN
59 a_DT
60 kind_NN
61 of_IN
62 6_CD
63 )_-RRB-
64 methodological|ADJ_NN
65 revolution_NN
66 ._.
67 A_DT
68 choices_NNS
69 of_IN
70 a_DT
71 dependence_NN
72 model_NN
73 between_IN
74 7_CD
75 )_-RRB-
76 different|ADJ_NN
77 risks_NNS
78 and_CC
79 of_IN
80 an_DT
81 aggregation_NN
82 methodology_NN
83 are_VBP
84 both_CC
85 8_CD
86 )_-RRB-
87 required|ADJ._VBG
88 In_IN
89 the_DT
90 9_CD
91 )_-RRB-
92 prescribed|ADJ_NN
93 Standard_NNP
94 Formula_NN
95 ,_,
96 risks_NNS
97 aggregation_NN
98 is_VBZ
99 done_VBN
100 using_VBG
101 correlation_NN
102 matrices_NNS
103 that_WDT
104 connect_VB
105 families_NNS
106 and_CC
107 subfamilies_NNS
108 of_IN
109 risks_NNS
110 ._.
111 Once_RB
112 the_DT
113 Solvency_NN
114 Capital_NN
115 Requirement_NN
116 (_-LRB-
117 SCR_NN
118 )_-RRB-
119 |_NN
120 is_VBZ
121 calculated_VBN
122 ,_,
123 its_PRP$
124 allocation_NN
125 between_IN
126 the_DT
127 10_CD
128 )_-RRB-
129 different|ADJ_NN
130 11_CD
131 )_-RRB-
132 risky|ADJ_NN
133 activity_NN
134 branches_NNS
135 becomes_VBZ
136 the_DT
137 12_CD
138 )_-RRB-
139 new|ADJ_NN
140 13_CD
141 )_-RRB-
142 operational|ADJ_NN
143 challenge_NN
144 ._.
145 Capital_NN
146 allocation_NN
147 is_VBZ
148 an_DT
149 14_CD
150 )_-RRB-
151 internal|ADJ_NN
152 exercise_NN
153 ,_,
154 1]_.
155 certainly|ADV_NN
156 2]_.
157 not|ADV_NN
158 controlled_VBN
159 by_IN
160 the_DT
161 15_CD
162 )_-RRB-
163 first|ADJ_NN
164 pillar_NN
165 of_IN
166 Solvency_NN
167 2_CD
168 ,_,
169 but_CC
170 it_PRP
171 plays_NNS
172 a_DT
173 16_CD
174 )_-RRB-
175 crucial|ADJ_NN
176 role_NN
177 in_IN
178 determining_VBG
179 performance_NN
180 of_IN
181 all_PDT
182 the_DT
183 insurer_NN
184 activity_NN
185 ._.
186 The_DT
187 case_NN
188 of_IN
189 insurance_NN
190 groups_NNS
191 requires_VBZ
192 17_CD
193 )_-RRB-
194 special|ADJ_NN
195 treatment_NN
196 in_IN
197 the_DT
198 context_NN
199 of_IN
200 the_DT
201 Own_JJ
202 Risk_NN
203 and_CC
204 Solvency_NN
205 Assessment_NN
206 (_-LRB-
207 ORSA_.
208 )_-RRB-
209 approach_NN
210 ._.
211 In_IN
212 this_DT
213 context_NN
214 ,_,
215 a_DT
216 18_CD
217 )_-RRB-
218 multivariate|ADJ_NN
219 analysis_NN
220 of_IN
221 risk_NN
222 seems_VBZ
223 19_CD
224 )_-RRB-
225 relevant|ADJ._.
226 The_DT
227 issue_NN
228 of_IN
229 capital_NN
230 allocation_NN
231 in_IN
232 a_DT
233 20_CD
234 )_-RRB-
235 multivariate|ADJ_NN
236 context_NN
237 arises_VBZ
238 from_IN
239 the_DT
240 presence_NN
241 of_IN
242 dependence_NN
243 between_IN
244 the_DT
245 21_CD
246 )_-RRB-
247 various|ADJ_NN
248 22_CD
249 )_-RRB-
250 risky|ADJ_NN
251 activities_NNS
252 which_WDT
253 may_MD
254 generate_VB
255 a_DT
256 diversification_NN
257 effect_NN
258 ._.
259 23_CD
260 )_-RRB-
261 Several|ADJ_NN
262 allocation_NN
263 methods_NNS
264 in_IN
265 the_DT
266 literature_NN
267 are_VBP
268 based_VBN
269 on_IN
270 a_DT
271 choice_NN
272 of_IN
273 a_DT
274 24_CD
275 )_-RRB-
276 univariate|ADJ_NN
277 risk_NN
278 measure_NN
279 and_CC
280 an_DT
281 allocation_NN
282 principle_NN
283 ._.
284 Others_NNS
285 are_VBP
286 based_VBN
287 on_IN
288 optimizing_VBG
289 a_DT
290 25_CD
291 )_-RRB-
292 multivariate|ADJ_NN
293 ruin_NN
294 probability_NN
295 or_CC
296 some_DT
297 26_CD
298 )_-RRB-
299 multivariate|ADJ_NN
300 risk_NN
301 indicators_NNS
302 ._.
303 In_IN
304 this_DT
305 paper_NN
306 ,_,
307 we_PRP
308 focus_NN
309 on_IN
310 the_DT
311 allocation_NN
312 technique_NN
313 by_IN
314 minimizing_VBG
315 some_DT
316 risk_NN
317 indicators_NNS
318 ._.
319 The_DT
320 literature_NN
321 on_IN
322 the_DT
323 subject_NN
324 of_IN
325 capital_NN
326 allocation_NN
327 methods_NNS
328 is_VBZ
329 27_CD
330 )_-RRB-
331 very|ADV_RB
332 28_CD
333 )_-RRB-
334 rich|ADJ._.
335 29_CD
336 )_-RRB-
337 Several|ADJ_NN
338 principles_NNS
339 have_VB
340 been_VBN
341 proposed_VBN
342 over_IN
343 the_DT
344 30_CD
345 )_-RRB-
346 last|ADJ_.
347 twenty_CD
348 years_NNS
349 ._.
350 The_DT
351 31_CD
352 )_-RRB-
353 most|ADV_.
354 32_CD
355 )_-RRB-
356 important|ADJ_NN
357 and_CC
358 33_CD
359 )_-RRB-
360 most|ADJ_NN
361 studied_VBN
362 are_VBP
363 the_DT
364 Shapley_NNP
365 method_NN
366 ,_,
367 the_DT
368 Aumann-Shapley_.
369 method_NN
370 and_CC
371 the_DT
372 Euler’s_NNS
373 method_NN
374 ._.
375 The_DT
376 Shapley_NNP
377 method_NN
378 is_VBZ
379 based_VBN
380 on_IN
381 34_CD
382 )_-RRB-
383 cooperative|ADJ_NN
384 game_NN
385 theory_NN
386 ._.
387 It_PRP
388 is_VBZ
389 described_VBN
390 3]_CD
391 in_IN
392 detail|ADV_NN
393 in_IN
394 Denault’s_.
395 paper_NN
396 (_-LRB-
397 2001_CD
398 )_-RRB-
399 [_NN
400 10_CD
401 ]_SYM
402 ._.
403 Denault_NN
404 proved_VBN
405 that_WDT
406 this_DT
407 method_NN
408 ,_,
409 4]_CD
410 originally|ADV_NN
411 used_VBN
412 to_TO
413 allocate_NN
414 the_DT
415 35_CD
416 )_-RRB-
417 total|ADJ_NN
418 cost_NN
419 between_IN
420 players_NNS
421 in_IN
422 36_CD
423 )_-RRB-
424 coalitional|ADJ_NN
425 games_NNS
426 context_NN
427 ,_,
428 can_MD
429 be_VB
430 37_CD
431 )_-RRB-
432 easily|ADV_RB
433 adapted_VBN
434 to_TO
435 solve_VB
436 the_DT
437 problem_NN
438 of_IN
439 the_DT
440 5]_CD
441 overall|ADJ_NN
442 risk_NN
443 allocation_NN
444 between_IN
445 segments_NNS
446 ._.
447 Tasche_NNP
448 devoted_VBN
449 two_CD
450 papers_NNS
451 [_NN
452 21_CD
453 ]_SYM
454 and_CC
455 [_NN
456 22_CD
457 ]_SYM
458 to_TO
459 describe_VB
460 Euler’s_NNS
461 method_NN
462 ._.
463 Euler’s_NNS
464 method_NN
465 is_VBZ
466 6]_CD
467 also|ADV_RB
468 found_VBN
469 in_IN
470 the_DT
471 literature_NN
472 under_IN
473 the_DT
474 name_NN
475 of_IN
476 gradient_NN
477 method_NN
478 ._.
479 It_PRP
480 is_VBZ
481 based_VBN
482 on_IN
483 the_DT
484 idea_NN
485 of_IN
486 allocating_VBG
487 capital_NN
488 according_VBG
489 to_TO
490 the_DT
491 38_CD
492 )_-RRB-
493 infinitesimal|ADJ_NN
494 39_CD
495 )_-RRB-
496 marginal|ADJ_NN
497 impact_NN
498 of_IN
499 each_DT
